thumb href,tagItemTitle href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),genericItemIntroText (2),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),genericItemIntroText (3),genericItemIntroText (4),specialty_codes href (10),specialty_codes (10),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),genericItemIntroText (5),genericItemIntroText (6),genericItemIntroText (7)
https://www.ovations.com.au/speakers/germaine-greer,https://www.ovations.com.au/speakers/germaine-greer,Germaine Greer,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,"It was in the late 60's that a young feminist, anarchist and academic penned her first book, which would capture the attention of the western world.
The Female Eunuch sold more than one million copies and to date has never been out of print.

Germaine Greer's call for women to live their own lives on their own terms - controversial as it was - struck a chord.

Germaine applies a ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/george-gregan,https://www.ovations.com.au/speakers/george-gregan,George Gregan,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,"Former Australian Rugby Union Captain. His rein as Australias half back, has earnt the title of the worlds best scrum-half and has made more appearances for his national team than any other player in the sport's history. He is respected throughout the rugby world for his tenacity, tactical skill, leadership ability, and sportsmanship. He is a confident and exciting speaker, and is very capable o ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/dan-gregory,https://www.ovations.com.au/speakers/dan-gregory,Dan Gregory,"Dan Gregory is an expert on Human Behaviour & Engagement. A Behavioural Strategist, he works as a leadership speaker, author & social commentator, helping leaders, individuals and organisations.",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Creative%20Thinking,CREATIVE THINKING,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speakers/education,EDUCATION,,https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/marketing,MARKETING,,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/retail,RETAIL,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,,,
https://www.ovations.com.au/speakers/johanna-griggs,https://www.ovations.com.au/speakers/johanna-griggs,Johanna Griggs,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,"Channel Seven mega-personality, face of the Olympic coverage, Better Homes and Gardens, Sportsworld, you name it. The former world ranked backstroker was one of Australia's youngest Commonwealth Games swimmers winning medals at the Auckland Commonwealth Games and Perth World Championships. After retiring, Johanna joined the Channel 7 network in 1993 and has since become one of Australia's most pop ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/michael-grinder,https://www.ovations.com.au/speakers/michael-grinder,Michael Grinder,,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/communication,COMMUNICATION,,,,,,,,,"Want to be more authentic? AND be seen as confident and credible? Then an event with Michael Grinder is not to be missed! Michael walks you and your audience through his ground-breaking communication, group dynamics and influence practices that have allowed thousands to change their lives by changing how others perceive them while staying true to their message. Michael has spent his life worki ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/daniel-grollo,https://www.ovations.com.au/speakers/daniel-grollo,Daniel Grollo,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,,,,,,,"Daniel Grollo is Executive Chairman and sole owner of Grocon, AustraliaÃ¢Â€Â™s largest private property investment, development and construction company. Daniel assumed the role of Executive Chairman in February 2014, having been Chief Executive Officer for the 14 years prior, as well as an Executive Director and member of the Grocon Board since 2000. In his role as Executive Chairman, Daniel c ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/bear-grylls,https://www.ovations.com.au/speakers/bear-grylls,Bear Grylls,"Bear Grylls, the youngest Briton to climb Mount Everest at only 23, has a natural talent for communicating and entertaining which has made him a popular personality in his own right. He is not only one of the youngest motivational speakers on the international business circuit but is a keen environmentalist and an author; one of Bear's books, Facing Up soared into the best seller list and has sold ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Environment%20/%20Sustainability,ENVIRONMENT / SUSTAINABILITY,,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speaker-filter-search-results/speakers/Author,AUTHOR,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,
https://www.ovations.com.au/speakers/niki-gudex,https://www.ovations.com.au/speakers/niki-gudex,Niki Gudex,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,"Niki has taken the sport of mountain bike riding by storm. She has fast become one of the most highly regarded female competitors in mountain biking and is one of a few athletes who are competitive in both Down Hill (DH) and Cross Country (XC) disciplines.
Within less than four years in the sport, Niki finished 2003 ranked one and two in the National Series for XC and DH respectively. At the r ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/anil-gupta,https://www.ovations.com.au/speakers/anil-gupta,Anil Gupta,"Anil Gupta is widely regarded as one of the world's leading experts on strategy and globalisation. He serves regularly as a keynote speaker at major conferences and corporate forums in the United States, Europe, China, and India, and is a consultant on strategy and globalization with some of the world's leading corporations.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Asia,ASIA,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/grant-hackett,https://www.ovations.com.au/speakers/grant-hackett,Grant Hackett,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,"Grant Hackett's (aka Captain Fantastic) professional swimming career has been interspersed with achivements which extend well beyond the pool deck. He has been named Swimming Australia's Male Distance Swimmer of the Year on many occasions, Australian Swimmer of the Year (jointly held) and took out the Telstra People's Choice Award in 2004. Grant was awarded the Centenary Medal and the Australian S ...",,,,,,,,,,,,,,,,,,,
