thumb href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5)
https://www.ovations.com.au/speakers/todd-sampson,Todd Sampson,"Todd is an adventurer, award-winning documentary-maker, television presenter and businessman. He is the co-creator of the Earth Hour initiative, one of the largest environmental movements in history. The Financial Review and News Limited ranked him as one of the most influential executives in Australia. Todd sits on the Board of Directors of both Fairfax and Qantas.",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Creative%20Thinking,CREATIVE THINKING,https://www.ovations.com.au/speaker-filter-search-results/speakers/Environment%20/%20Sustainability,ENVIRONMENT / SUSTAINABILITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP
https://www.ovations.com.au/ovations-exclusive-speakers/james-taylor,James Taylor,"James Taylor - who started his career managing high profile rock stars - is now an in-demand keynote speaker and internationally recognized leader in creativity, sustainability, innovation and artificial intelligence. For over 20 years, he has been advising CEO’s, entrepreneurs, educators, governments, leaders, writers and rockstars on how to design innovative organizations, unlock creative potential and build a sustainable future. His forthcoming book is “SuperCreativity: Augmenting Human Creativity in the Age of Artificial Intelligence”.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,https://www.ovations.com.au/speaker-filter-search-results/speakers/Creative%20Thinking,CREATIVE THINKING,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS
https://www.ovations.com.au/speakers/tony-armstrong,Tony Armstrong,"Tony Armstrong, a Barranbinya First-Nations Australian and former AFL player for teams like Adelaide and Sydney Swans, has transitioned successfully into media. He became the first Indigenous person to call live AFL on commercial radio and later joined ABC as a sports news producer and presenter. Tony's media presence has been recognized with prestigious awards, including the 2022 Graham Kennedy Award and the 2023 Bert Newton award for Most Popular Presenter.",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speaker-filter-search-results/speakers/Indigenous%20Affairs,INDIGENOUS AFFAIRS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Diversity%20and%20Inclusion,DIVERSITY AND INCLUSION,,
https://www.ovations.com.au/speakers/danielle-alvarez,Danielle Alvarez,"Danielle Alvarez is a celebrated chef, author, and culinary visionary known for her farm-to-table philosophy. She honed her skills at The French Laundry and Chez Panisse before leading Fred’s in Paddington, earning two Chef’s Hats. Now Culinary Director at the Sydney Opera House, she shares her passion through writing, TV, and speaking on food, sustainability, and storytelling.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Chef,CHEF,https://www.ovations.com.au/speaker-filter-search-results/speakers/Women%20in%20Business,WOMEN IN BUSINESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Author,AUTHOR,,,,
